param1_name,param1_value,param2_name,param2_value,params,f1_mean_fitness,f2_mean_fitness,fitness_diff,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,ci_overlap
memory_decay,0.99,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.1}",141.04000000000002,139.34999999999997,1.6900000000000546,139.18492954513243,142.8950704548676,137.64383231464353,141.0561676853564,0.65,True
memory_decay,0.99,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.4}",141.035,139.265,1.7700000000000102,139.05087716645843,143.01912283354156,137.52625280019112,141.00374719980886,0.6,True
memory_decay,0.99,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.8}",140.85499999999996,139.20499999999993,1.650000000000034,138.76382330378738,142.94617669621255,137.36289631016234,141.0471036898375,0.6,True
memory_decay,0.99,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 1.5}",140.79500000000002,139.31499999999997,1.4800000000000466,138.730454431695,142.85954556830504,137.5052347624515,141.12476523754844,0.6,True
memory_growth,0.5,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.1}",139.49500000000006,138.42000000000002,1.0750000000000455,137.68203981928525,141.30796018071487,136.3194106677565,140.52058933224353,0.6,True
memory_growth,0.5,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.4}",139.24500000000006,138.35500000000002,0.8900000000000432,137.4742449436511,141.01575505634904,136.45904907126078,140.25095092873926,0.65,True
memory_growth,0.5,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.8}",138.69500000000008,137.81500000000003,0.8800000000000523,137.07307693582567,140.3169230641745,135.979428957916,139.65057104208404,0.75,True
memory_growth,0.5,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 1.5}",138.57500000000007,137.98500000000004,0.5900000000000318,137.0267224008348,140.12327759916533,136.08620553972355,139.88379446027653,0.65,True
memory_growth,1.0,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.1}",140.16000000000003,139.13999999999993,1.0200000000000955,138.3254890970307,141.99451090296935,136.93327361052704,141.34672638947282,0.6,True
memory_growth,1.0,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.4}",139.65500000000003,138.655,1.0000000000000284,137.55425289019993,141.75574710980013,136.46689401515502,140.84310598484498,0.65,True
memory_growth,1.0,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.8}",140.50000000000003,138.95999999999998,1.5400000000000489,138.44550064213973,142.55449935786032,136.8760064463096,141.04399355369037,0.55,True
memory_growth,1.0,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 1.5}",141.01,138.62999999999997,2.380000000000024,139.08751559457272,142.93248440542726,136.850566713518,140.40943328648194,0.7,True
memory_growth,1.5,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.1}",140.675,139.71499999999997,0.9600000000000364,138.63554474693345,142.71445525306657,137.58256440045,141.84743559954995,0.65,True
memory_growth,1.5,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.4}",140.60500000000002,139.16999999999996,1.4350000000000591,138.33476956040053,142.8752304395995,137.23542855172818,141.10457144827174,0.7,True
memory_growth,1.5,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.8}",140.98000000000005,139.015,1.9650000000000603,138.78111332598553,143.17888667401456,137.31019943166658,140.7198005683334,0.65,True
memory_growth,1.5,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 1.5}",141.26500000000004,139.275,1.9900000000000375,139.24963153053866,143.28036846946142,137.5061730659286,141.0438269340714,0.65,True
memory_growth,2.5,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.1}",140.805,139.54499999999996,1.2600000000000477,138.76342046387214,142.84657953612788,137.86566695032292,141.224333049677,0.65,True
memory_growth,2.5,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.4}",140.935,139.525,1.4099999999999966,138.8128609637197,143.05713903628032,137.78979695350947,141.26020304649055,0.6,True
memory_growth,2.5,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.8}",140.94000000000003,139.46499999999997,1.4750000000000512,139.05594790253443,142.82405209746562,137.84316223154931,141.08683776845064,0.55,True
memory_growth,2.5,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 1.5}",140.865,139.12499999999997,1.7400000000000375,138.95193075795177,142.77806924204825,137.35018711582367,140.89981288417627,0.6,True
